gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ABHD16B,0.05076522,-0.0014711489374777,0.1241347729343998,-0.0515688020849683,0.9588722785797082,
ABHD17A,1448.0272,-0.0333882376215331,0.0706233261515919,-0.3854298298051218,0.6999189855200032,0.8477996302222786
ABHD17B,888.62604,-0.3342749230859996,0.1364219110818082,-3.1064684149934343,0.001893365339457,0.0297738111289019
ABHD17C,325.31686,-0.1235539188025577,0.063957129294118,-2.3118510554824083,0.0207858927365931,0.1142582120297697
ABHD18,403.78293,0.1166151756990175,0.0505704009378934,2.5784129208552,0.0099255312662856,0.0750439232461383
ABHD2,4728.7847,0.0617151629233332,0.0594735753987917,1.2308503748933777,0.2183788307723991,0.45352980665803
ABHD3,148.07828,-0.0514019002099518,0.0940637922212906,-0.9133883066219356,0.361038353332619,0.5991206931088361
ABHD4,298.06445,-0.0055936423398473,0.0887146122552661,-0.1025511145995043,0.918319243086168,0.964382932960349
ABHD5,554.7143,-0.185669831246647,0.1128669332636911,-2.3433530095084234,0.0191112911730471,0.1085019928777523
ABHD6,648.18054,-0.1779971082957431,0.0846799714485504,-2.714614957356815,0.0066352866972465,0.0594429655013955
ABHD8,1088.2866,-0.0079359715571509,0.0810846868891342,-0.3894951761088084,0.6969098783983176,0.8456383254101711
ABI1,1771.0327,-0.0603480239982471,0.0605964318548227,-1.1951576013839702,0.2320254603501035,0.4686824039654898
ABI2,6671.108,-0.0964010041592022,0.0736553990504676,-1.5432706327494423,0.1227651258871377,0.3281051934462612
ABI3,71.23681,0.0200084495169547,0.1008993467404379,0.4753495719555141,0.6345378314042138,0.8053904107315926
ABI3BP,179.58842,-0.0556209067015619,0.1133677970923448,-1.1718838509909986,0.2412436914926533,0.4788007744501885
ABL1,1194.201,0.0048262693103115,0.0784463738549983,0.1785591181321355,0.8582838975036735,0.935734715924162
ABL2,2235.8923,-0.1277116786398817,0.0469682250984557,-2.7457568991728247,0.0060371480269372,0.0562881473198373
ABLIM1,5835.988,-0.0470753832405577,0.0558927978250832,-0.2822510077224211,0.7777510490289439,0.8923654293022508
ABLIM2,1491.8999,0.0512640491924989,0.088057630980869,0.9815364397556728,0.3263282738177143,0.5676115945542461
ABLIM3,780.9062,0.1187442127110244,0.0685987781093457,2.237038506301378,0.0252838234540232,0.1276516970224453
ABO,12.285886,1.132942586822588,0.2465461903748972,5.136344381518678,2.8013411244866657e-07,0.0003542517010423
ABR,8560.482,-0.0440202344051737,0.068698461927336,0.2860336500229684,0.7748523487567788,0.8907625875246433
ABRA,6.0863795,0.0042554063377166,0.1037369535252911,0.131081084755752,0.8957111642224869,0.9543630216446056
ABRACL,97.35025,-0.1279025056016589,0.120002664037776,-1.8520684325523225,0.0640159968105475,0.2223991259929188
ABRAXAS1,72.7977,-0.0440759441961892,0.0812150908456403,-0.7758729687879192,0.4378239944646847,0.6636132421778311
ABRAXAS2,434.47687,-0.100744936217746,0.0601617117651864,-2.0355419656611367,0.0417963704384392,0.1725500674440515
ABT1,146.94688,-0.0178473196035482,0.054208332718545,-0.3586584708177922,0.7198505995330486,0.8595065524514516
ABTB1,565.6146,0.1037623794265749,0.0801602400899668,1.6573704730009038,0.0974445972692772,0.2865583679687037
ABTB2,178.71576,0.0424113065828133,0.0955553302320024,0.8039046403477822,0.4214520499350738,0.6508608313541279
ACAA1,571.5944,0.1109166024978571,0.0611449390905674,2.133346399645579,0.0328963205558478,0.1494061392475858
